IPD150 073 15715826
19363791 047 ICS028
024 TEL272 10963945
005 INF065 23983494
002 13204370 INF046
TEL195 012 22030762
MAT113 040 10355460
TEL234 09372363 059
058 20189614 MAT082
066 20281770 EFI010
068 20787634 INF169
092 14021624 TEL052
EFI055 064 18191630
007 ELI029 18694292
006 20430094 TEL190
20188320 ELI093 096
026 14715241 IWN039
052 10135752 ELI244
ELO188 17691196 090
016 TEL282 24115091
073 HRW035 17612162
ELO026 080 22403968
IWN199 005 20078924
ICS167 089 17109539
HRW122 17781046 007
TEL046 23958830 004
ELI157 081 19158152
16477412 ELI286 059
19950501 IPD014 012
23603703 004 IPD038
009 HRW211 19792524
15482266 IPD166 036
24982819 ELO147 067
IWN069 031 20874184
ICS237 055 24759082
021 ELO143 09049321
079 09422685 TEL231
IPD079 036 16968753
13048736 ICS111 057
010 19650961 MAT001
10130363 015 EFI017
QUI269 20517143 001
004 ICS078 13653614
097 19638030 HRW288
20252982 INF246 072
11092626 004 QUI212
055 EFI252 20356123
13143393 002 MAT066
ICS288 025 20010962
ICS211 084 10233422
IWN033 24754958 005
018 IPD034 12227958
IPD058 063 20546750
016 14655883 FIS243
IWN191 023 10514165
13742118 065 TEL073
078 17173363 IPD025
10778602 020 ELI269
032 FIS032 18988984
14546747 088 IWN192
INF043 089 14135267
026 ELO149 10911962
22000040 027 TEL109
ICS245 008 13009989
13651279 ELI180 003
15651870 096 ICS090
064 IWN014 23555158
09316826 087 ELI128
060 QUI125 11128221
23418078 IPD066 018
18187705 FIS008 084
058 13183400 TEL178
18332597 089 TEL221
072 EFI040 09474553
MAT163 13422294 063
IPD202 09581112 100
17061239 021 ELI153
11331405 099 TEL084
ICS103 12234800 017
ELO027 16660311 046
084 TEL242 23538712
24815304 IPD151 096
094 17886293 ELO160
031 IWN237 22835433
063 12326372 QUI188
13187946 089 ICS039
09549434 034 IPD213
TEL076 019 20101511
IWN234 008 10838109
QUI243 088 23040823
IPD167 16405938 030
034 EFI218 21920187
12863508 IPD265 049
HRW192 13184615 034
012 20247728 MAT207
12835648 086 IPD186
IPD257 035 15084748
EFI039 062 11236686
043 14551589 INF095
052 17908168 TEL297
TEL174 19104555 026
031 TEL249 21214391
ELI177 21417476 079
16244281 QUI251 098
087 23889983 ELO108
10527962 IWN296 086
IPD004 036 18153374
23368721 004 IWN170
045 IPD265 20860380
050 20708505 EFI223
013 24528806 INF101
TEL118 067 13164746
15118622 HRW267 006
064 12997828 FIS279
HRW043 089 18636227
061 09556717 QUI189
23817846 INF276 008
19634911 QUI256 062
TEL125 17384241 046
MAT061 21201109 079
TEL183 084 16184303
16985069 TEL295 017
21385051 040 ICS276
IPD022 078 23319752
INF046 024 24388801
MAT206 052 21811547
032 18022373 INF060
064 FIS231 19685783
12912616 FIS001 065
13222875 HRW059 011
ELI096 18765488 079
19258640 081 INF093
21310676 HRW092 034
044 IWN272 12666862
ELI271 14570045 099
015 18052334 FIS114
HRW191 17761875 090
ELO298 12425983 075
083 24412891 FIS212
20606775 IPD045 052
MAT003 11924403 051
083 14855432 HRW041
24971124 070 QUI027
056 16974438 MAT051
017 09572183 HRW095
15136453 EFI273 026
23010451 007 EFI170
TEL111 10700363 043
100 ELI150 15825294
MAT161 17090563 083
084 22617633 ELO090
23884380 074 FIS224
24689999 065 IWN063
12905279 035 IWN203
24541110 041 TEL122
013 ICS177 20433539
QUI154 069 16662867
13416430 FIS094 031
020 17907726 FIS042
074 ELI179 12179773
INF246 19574017 010
ICS012 072 16412798
094 24636411 IWN265
TEL135 097 18512470
12408228 044 HRW298
ELO132 039 09780544
17762766 014 ELI197
ELO292 051 19083362
ELI013 068 10252573
MAT104 16792097 091
12777154 042 TEL031
INF297 015 15761921
006 21119101 FIS143
24683688 094 ELO124
IPD071 20067298 038
11515776 IPD194 028
065 14994388 INF192
FIS116 20270288 042
095 13259518 ELI163
070 HRW071 09105029
024 17713457 MAT280
001 QUI181 12700737
030 16056600 ICS293
082 11920894 INF041
023 14498517 IPD185
014 EFI166 11757500
ELI283 13837969 013
19392786 IWN133 086
20596376 037 QUI029
078 18168596 INF238
015 QUI122 23530613
22088249 INF235 047
11049223 HRW152 021
IWN262 089 24414692
11762123 072 TEL141
17607789 HRW181 031
072 EFI058 22890572
EFI031 003 14609454
013 19299499 EFI091
022 IWN127 13396694
